source_stop_id,target_stop_id,weight,mode,line,route_short_name,route_long_name,transfer,distance_meters,estimated_time_min,data_source
LTFRB_4985,LTFRB_4986,2.48,lrt,ROUTE_880801,LRT 2,Recto - Santolan,False,923.1,2.48,gtfs
LTFRB_4986,LTFRB_2208,0.5,transfer,transfer,transfer,transfer,True,0.0,0.5,derived_transfer
LTFRB_4986,LTFRB_2209,1.96,transfer,transfer,transfer,transfer,True,146.94,1.96,derived_transfer
LTFRB_4986,LTFRB_4985,2.48,lrt,ROUTE_880801,LRT 2,Recto - Santolan,False,923.1,2.48,gtfs
LTFRB_4986,LTFRB_4987,3.94,lrt,ROUTE_880801,LRT 2,Recto - Santolan,False,1700.64,3.94,gtfs
LTFRB_4987,LTFRB_3695,0.5,transfer,transfer,transfer,transfer,True,11.12,0.5,derived_transfer
LTFRB_4987,LTFRB_3696,2.4,transfer,transfer,transfer,transfer,True,180.2,2.4,derived_transfer
LTFRB_4987,LTFRB_4986,3.94,lrt,ROUTE_880801,LRT 2,Recto - Santolan,False,1700.64,3.94,gtfs
LTFRB_4988,LTFRB_1557,3.08,transfer,transfer,transfer,transfer,True,231.11,3.08,derived_transfer
LTFRB_4988,LTFRB_1559,3.09,transfer,transfer,transfer,transfer,True,232.01,3.09,derived_transfer
LTFRB_4988,LTFRB_1580,2.37,transfer,transfer,transfer,transfer,True,177.85,2.37,derived_transfer
LTFRB_4988,LTFRB_1581,0.5,transfer,transfer,transfer,transfer,True,25.24,0.5,derived_transfer
LTFRB_4988,LTFRB_1582,2.63,transfer,transfer,transfer,transfer,True,197.27,2.63,derived_transfer
LTFRB_4988,LTFRB_4991,4.05,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1759.11,4.05,gtfs
LTFRB_499,LTFRB_495,2.17,jeep,LTFRB_PUJ1499,,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",False,200.15,2.17,gtfs
LTFRB_499,LTFRB_502,2.22,jeep,LTFRB_PUJ1498,,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",False,216.18,2.22,gtfs
LTFRB_4991,LTFRB_1428,2.49,transfer,transfer,transfer,transfer,True,186.43,2.49,derived_transfer
LTFRB_4991,LTFRB_1438,0.88,transfer,transfer,transfer,transfer,True,66.14,0.88,derived_transfer
LTFRB_4991,LTFRB_1439,0.7,transfer,transfer,transfer,transfer,True,52.43,0.7,derived_transfer
LTFRB_4991,LTFRB_1440,2.3,transfer,transfer,transfer,transfer,True,172.14,2.3,derived_transfer
LTFRB_4991,LTFRB_1441,1.77,transfer,transfer,transfer,transfer,True,132.96,1.77,derived_transfer
LTFRB_4991,LTFRB_1469,3.04,transfer,transfer,transfer,transfer,True,228.23,3.04,derived_transfer
LTFRB_4991,LTFRB_1470,3.16,transfer,transfer,transfer,transfer,True,237.26,3.16,derived_transfer
LTFRB_4991,LTFRB_4988,4.05,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1759.11,4.05,gtfs
LTFRB_4991,LTFRB_4992,2.86,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1123.03,2.86,gtfs
LTFRB_4992,LTFRB_1485,1.61,transfer,transfer,transfer,transfer,True,120.43,1.61,derived_transfer
LTFRB_4992,LTFRB_1486,2.77,transfer,transfer,transfer,transfer,True,207.91,2.77,derived_transfer
LTFRB_4992,LTFRB_1492,0.65,transfer,transfer,transfer,transfer,True,48.71,0.65,derived_transfer
LTFRB_4992,LTFRB_4991,2.86,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1123.03,2.86,gtfs
LTFRB_4992,LTFRB_4993,1.88,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,603.83,1.88,gtfs
LTFRB_4993,LTFRB_1500,1.82,transfer,transfer,transfer,transfer,True,136.41,1.82,derived_transfer
LTFRB_4993,LTFRB_1501,0.98,transfer,transfer,transfer,transfer,True,73.18,0.98,derived_transfer
LTFRB_4993,LTFRB_1811,3.32,transfer,transfer,transfer,transfer,True,248.92,3.32,derived_transfer
LTFRB_4993,LTFRB_4678,2.72,transfer,transfer,transfer,transfer,True,203.92,2.72,derived_transfer
LTFRB_4993,LTFRB_4992,1.88,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,603.83,1.88,gtfs
LTFRB_4993,LTFRB_4999,4.43,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1964.68,4.43,gtfs
LTFRB_4994,LTFRB_1873,1.29,transfer,transfer,transfer,transfer,True,96.43,1.29,derived_transfer
LTFRB_4994,LTFRB_1874,3.13,transfer,transfer,transfer,transfer,True,234.79,3.13,derived_transfer
LTFRB_4994,LTFRB_1876,3.16,transfer,transfer,transfer,transfer,True,237.09,3.16,derived_transfer
LTFRB_4994,LTFRB_1877,2.26,transfer,transfer,transfer,transfer,True,169.8,2.26,derived_transfer
LTFRB_4994,LTFRB_4995,2.04,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,685.95,2.04,gtfs
LTFRB_4994,LTFRB_4998,3.91,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,1684.22,3.91,gtfs
LTFRB_4995,LTFRB_1900,0.59,transfer,transfer,transfer,transfer,True,44.26,0.59,derived_transfer
LTFRB_4995,LTFRB_4994,2.04,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,685.95,2.04,gtfs
LTFRB_4995,LTFRB_4996,2.16,lrt,ROUTE_880872,PNR MC,Metro Commuter,False,750.4,2.16,gtfs
LTFRB_4996,LTFRB_1911,1.54,transfer,transfer,transfer,transfer,True,115.17,1.54,derived_transfer
LTFRB_4996,LTFRB_1916,1.79,transfer,transfer,transfer,transfer,True,134.11,1.79,derived_transfer
